source,target,value,link,nodes
CV  Chest Pain  Presumed Cardiac , Acute pancreatitis without necrosis or infection unsp,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Acute pancreatitis without necrosis or infection unsp"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Angina pectoris with documented spasm,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Angina pectoris with documented spasm"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Athscl heart disease of native cor art w oth ang pctrs,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Athscl heart disease of native cor art w oth ang pctrs"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Chronic obstructive pulmon disease w acute lower resp infct,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Chronic obstructive pulmon disease w acute lower resp infct"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Chronic obstructive pulmonary disease w acute exacerbation,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Dissection of thoracic aorta,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Dissection of thoracic aorta"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Dyskinesia of esophagus,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Dyskinesia of esophagus"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Heart failure unspecified,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Heart failure unspecified"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Hypertensive urgency,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Hypertensive urgency"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Other muscle spasm,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Other muscle spasm"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Pain in thoracic spine,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Pain in thoracic spine"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Pleurisy,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Pleurisy"", value: 2}",
CV  Chest Pain  Presumed Cardiac , ST elevation STEMI myocardial infarction of unsp site,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""ST elevation STEMI myocardial infarction of unsp site"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Syncope and collapse,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Syncope and collapse"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Takotsubo syndrome,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Takotsubo syndrome"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Vomiting unspecified,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Vomiting unspecified"", value: 2}",
CV  Chest Pain  Presumed Cardiac , Weakness,2,"{source:""CV Chest Pain Presumed Cardiac"", target:""Weakness"", value: 2}",
CV  Chest Pain  STEMI of Anterior Wall , Chest pain unspecified,2,"{source:""CV Chest Pain STEMI of Anterior Wall"", target:""Chest pain unspecified"", value: 2}",
CV  Chest Pain  STEMI of Anterior Wall , Non ST elevation NSTEMI myocardial infarction,2,"{source:""CV Chest Pain STEMI of Anterior Wall"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 2}",
CV  Chest Pain  STEMI of Anterior Wall , ST elevation STEMI myocardial infarction of unsp site,2,"{source:""CV Chest Pain STEMI of Anterior Wall"", target:""ST elevation STEMI myocardial infarction of unsp site"", value: 2}",
CV  Chest Pain  STEMI of Anterior Wall , STEMI involving left anterior descending coronary artery,2,"{source:""CV Chest Pain STEMI of Anterior Wall"", target:""STEMI involving left anterior descending coronary artery"", value: 2}",
CV  Chest Pain  STEMI of Inferior Wall , Other chest pain,2,"{source:""CV Chest Pain STEMI of Inferior Wall"", target:""Other chest pain"", value: 2}",
CV  Chest Pain  STEMI of Inferior Wall , STEMI involving oth sites,2,"{source:""CV Chest Pain STEMI of Inferior Wall"", target:""STEMI involving oth sites"", value: 2}",
CV  Chest Pain  STEMI of other sites , Non ST elevation NSTEMI myocardial infarction,2,"{source:""CV Chest Pain STEMI of other sites"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 2}",
CV  Chest Pain  STEMI of other sites , Other chest pain,2,"{source:""CV Chest Pain STEMI of other sites"", target:""Other chest pain"", value: 2}",
CV  Congestive Heart Failure CHF , Heart failure unspecified,2,"{source:""CV Congestive Heart Failure CHF"", target:""Heart failure unspecified"", value: 2}",
CV  Congestive Heart Failure CHF , Hypokalemia,2,"{source:""CV Congestive Heart Failure CHF"", target:""Hypokalemia"", value: 2}",
CV  Congestive Heart Failure CHF , Lymphedema not elsewhere classified,2,"{source:""CV Congestive Heart Failure CHF"", target:""Lymphedema not elsewhere classified"", value: 2}",
CV  Hypertension , Chest pain unspecified,2,"{source:""CV Hypertension"", target:""Chest pain unspecified"", value: 2}",
CV  Hypertension , Hypertensive urgency,2,"{source:""CV Hypertension"", target:""Hypertensive urgency"", value: 2}",
CV  Hypotension , Chronic or unspecified gastric ulcer with hemorrhage,2,"{source:""CV Hypotension"", target:""Chronic or unspecified gastric ulcer with hemorrhage"", value: 2}",
CV  Hypotension , Sepsis due to Escherichia coli [E. coli],2,"{source:""CV Hypotension"", target:""Sepsis due to Escherichia coli [E. coli]"", value: 2}",
CV  Pulmonary Embolism , Cardiac arrest cause unspecified,2,"{source:""CV Pulmonary Embolism"", target:""Cardiac arrest cause unspecified"", value: 2}",
CV  Pulmonary Embolism , Chest pain unspecified,2,"{source:""CV Pulmonary Embolism"", target:""Chest pain unspecified"", value: 2}",
Dehydration , Dehydration,2,"{source:""Dehydration"", target:""Dehydration"", value: 2}",
Dehydration , Heat exhaustion unspecified initial encounter,2,"{source:""Dehydration"", target:""Heat exhaustion unspecified initial encounter"", value: 2}",
Dehydration , Nausea with vomiting unspecified,2,"{source:""Dehydration"", target:""Nausea with vomiting unspecified"", value: 2}",
Dehydration , Pneumonia unspecified organism,2,"{source:""Dehydration"", target:""Pneumonia unspecified organism"", value: 2}",
Dehydration , Weakness,2,"{source:""Dehydration"", target:""Weakness"", value: 2}",
Dental Tooth Pain , Other specified disorders of teeth and supporting structures,2,"{source:""Dental Tooth Pain"", target:""Other specified disorders of teeth and supporting structures"", value: 2}",
Dental Tooth Pain , Periapical abscess without sinus,2,"{source:""Dental Tooth Pain"", target:""Periapical abscess without sinus"", value: 2}",
Diarrhea unspecified , Paroxysmal atrial fibrillation,2,"{source:""Diarrhea unspecified"", target:""Paroxysmal atrial fibrillation"", value: 2}",
Encounter for general adult medical examination without abnormal findings , Poisoning by unsp antidepressants self harm init,2,"{source:""Encounter for general adult medical examination without abnormal findings"", target:""Poisoning by unsp antidepressants self harm init"", value: 2}",
Endocrine  Hyperglycemia  Diabetic Diabetes , Oth diabetes mellitus with ketoacidosis without coma,2,"{source:""Endocrine Hyperglycemia Diabetic Diabetes"", target:""Oth diabetes mellitus with ketoacidosis without coma"", value: 2}",
Endocrine  Hyperglycemia  Diabetic Diabetes , Unspecified atrial fibrillation,2,"{source:""Endocrine Hyperglycemia Diabetic Diabetes"", target:""Unspecified atrial fibrillation"", value: 2}",
Endocrine  Hyperglycemia  Diabetic Diabetes , Urinary tract infection site not specified,2,"{source:""Endocrine Hyperglycemia Diabetic Diabetes"", target:""Urinary tract infection site not specified"", value: 2}",
Environment  Hypothermia , Sepsis due to Escherichia coli [E. coli],2,"{source:""Environment Hypothermia"", target:""Sepsis due to Escherichia coli [E. coli]"", value: 2}",
Environment  Poisoning Drug Ingestion overdose , Other stimulant abuse uncomplicated,2,"{source:""Environment Poisoning Drug Ingestion overdose"", target:""Other stimulant abuse uncomplicated"", value: 2}",
Environment  Poisoning Drug Ingestion overdose , Rhabdomyolysis,2,"{source:""Environment Poisoning Drug Ingestion overdose"", target:""Rhabdomyolysis"", value: 2}",
Environment  Poisoning Drug Ingestion overdose , Toxic effect of gases fumes and vapors accidental init,2,"{source:""Environment Poisoning Drug Ingestion overdose"", target:""Toxic effect of gases fumes and vapors accidental init"", value: 2}",
Falls , Abuse of Alcohol  Intoxication,2,"{source:""Falls"", target:""Abuse of Alcohol Intoxication"", value: 2}",
Falls , Alcohol abuse with intoxication unspecified,2,"{source:""Falls"", target:""Alcohol abuse with intoxication unspecified"", value: 2}",
Falls , Alcohol dependence with intoxication unspecified,2,"{source:""Falls"", target:""Alcohol dependence with intoxication unspecified"", value: 2}",
Falls , Concussion,2,"{source:""Falls"", target:""Concussion"", value: 2}",
Falls , Dehydration,2,"{source:""Falls"", target:""Dehydration"", value: 2}",
Falls , GI GU  Abdominal Pain Acute Onset,2,"{source:""Falls"", target:""GI GU Abdominal Pain Acute Onset"", value: 2}",
Falls , GI GU  Generalized Abdominal Pain,2,"{source:""Falls"", target:""GI GU Generalized Abdominal Pain"", value: 2}",
Falls , Injury  Elbow,2,"{source:""Falls"", target:""Injury Elbow"", value: 2}",
Falls , Injury  Foot,2,"{source:""Falls"", target:""Injury Foot"", value: 2}",
Falls , Neuro  TIA transient ischemic attack,2,"{source:""Falls"", target:""Neuro TIA transient ischemic attack"", value: 2}",
Falls , Nontraumatic hematoma of soft tissue,2,"{source:""Falls"", target:""Nontraumatic hematoma of soft tissue"", value: 2}",
Falls , Opioid use unspecified,2,"{source:""Falls"", target:""Opioid use unspecified"", value: 2}",
Falls , Other shoulder lesions unspecified shoulder,2,"{source:""Falls"", target:""Other shoulder lesions unspecified shoulder"", value: 2}",
Falls , Unspecified fracture of shaft of unspecified tibia sequela,2,"{source:""Falls"", target:""Unspecified fracture of shaft of unspecified tibia sequela"", value: 2}",
Falls , Unspecified injury of face initial encounter,2,"{source:""Falls"", target:""Unspecified injury of face initial encounter"", value: 2}",
Fever , Acute cystitis without hematuria,2,"{source:""Fever"", target:""Acute cystitis without hematuria"", value: 2}",
Fever , Acute pharyngitis unspecified,2,"{source:""Fever"", target:""Acute pharyngitis unspecified"", value: 2}",
Fever , Acute respiratory failure with hypoxia,2,"{source:""Fever"", target:""Acute respiratory failure with hypoxia"", value: 2}",
Fever , Bloodstream infection due to central venous catheter init,2,"{source:""Fever"", target:""Bloodstream infection due to central venous catheter init"", value: 2}",
Fever , Flu due to unidentified influenza virus w oth resp manifest,2,"{source:""Fever"", target:""Flu due to unidentified influenza virus w oth resp manifest"", value: 2}",
Fever , Infect inflm react d t oth cardi vasc dev implnt grft init,2,"{source:""Fever"", target:""Infect inflm react d t oth cardi vasc dev implnt grft init"", value: 2}",
Fever , Infect inflm reaction due to internal right hip prosth init,2,"{source:""Fever"", target:""Infect inflm reaction due to internal right hip prosth init"", value: 2}",
Fever , Noninfective gastroenteritis and colitis unspecified,2,"{source:""Fever"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}",
Fever , Other acute postprocedural pain,2,"{source:""Fever"", target:""Other acute postprocedural pain"", value: 2}",
Fever , Other injury of urethra initial encounter,2,"{source:""Fever"", target:""Other injury of urethra initial encounter"", value: 2}",
Fever , Other specified disorders of bladder,2,"{source:""Fever"", target:""Other specified disorders of bladder"", value: 2}",
Fever , Retention of urine unspecified,2,"{source:""Fever"", target:""Retention of urine unspecified"", value: 2}",
Fever , Syncope and collapse,2,"{source:""Fever"", target:""Syncope and collapse"", value: 2}",
Fever , Vomiting unspecified,2,"{source:""Fever"", target:""Vomiting unspecified"", value: 2}",
Fever , Weakness,2,"{source:""Fever"", target:""Weakness"", value: 2}",
General Malaise , Acute and chronic respiratory failure with hypoxia,2,"{source:""General Malaise"", target:""Acute and chronic respiratory failure with hypoxia"", value: 2}",
General Malaise , Acute kidney failure unspecified,2,"{source:""General Malaise"", target:""Acute kidney failure unspecified"", value: 2}",
General Malaise , Altered mental status unspecified,2,"{source:""General Malaise"", target:""Altered mental status unspecified"", value: 2}",
General Malaise , Chest pain unspecified,2,"{source:""General Malaise"", target:""Chest pain unspecified"", value: 2}",
General Malaise , Chronic obstructive pulmonary disease w acute exacerbation,2,"{source:""General Malaise"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 2}",
General Malaise , Dehydration,2,"{source:""General Malaise"", target:""Dehydration"", value: 2}",
General Malaise , Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny,2,"{source:""General Malaise"", target:""Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny"", value: 2}",
General Malaise , Hypothyroidism unspecified,2,"{source:""General Malaise"", target:""Hypothyroidism unspecified"", value: 2}",
General Malaise , Noninfective gastroenteritis and colitis unspecified,2,"{source:""General Malaise"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}",
General Malaise , Other peripheral vertigo unspecified ear,2,"{source:""General Malaise"", target:""Other peripheral vertigo unspecified ear"", value: 2}",
General Malaise , Other streptococcal sepsis,2,"{source:""General Malaise"", target:""Other streptococcal sepsis"", value: 2}",
General Malaise , Sepsis due to Escherichia coli [E. coli],2,"{source:""General Malaise"", target:""Sepsis due to Escherichia coli [E. coli]"", value: 2}",
General Malaise , Suicidal ideations,2,"{source:""General Malaise"", target:""Suicidal ideations"", value: 2}",
General Malaise , Syncope and collapse,2,"{source:""General Malaise"", target:""Syncope and collapse"", value: 2}",
General Malaise , Unspecified abdominal pain,2,"{source:""General Malaise"", target:""Unspecified abdominal pain"", value: 2}",
General Malaise , Unspecified injury of head initial encounter,2,"{source:""General Malaise"", target:""Unspecified injury of head initial encounter"", value: 2}",
General Malaise , Viral infection unspecified,2,"{source:""General Malaise"", target:""Viral infection unspecified"", value: 2}",
GI Bleed  Hematemesis vomiting blood blood in vomit , Chronic or unspecified gastric ulcer with hemorrhage,2,"{source:""GI Bleed Hematemesis vomiting blood blood in vomit"", target:""Chronic or unspecified gastric ulcer with hemorrhage"", value: 2}",
GI Bleed  Hematemesis vomiting blood blood in vomit , Oth psychoactv sub use unsp w psych disorder w delusions,2,"{source:""GI Bleed Hematemesis vomiting blood blood in vomit"", target:""Oth psychoactv sub use unsp w psych disorder w delusions"", value: 2}",
GI Bleed  Hematemesis vomiting blood blood in vomit , Other stimulant abuse with unsp stimulant induced disorder,2,"{source:""GI Bleed Hematemesis vomiting blood blood in vomit"", target:""Other stimulant abuse with unsp stimulant induced disorder"", value: 2}",
GI Bleed  Hematemesis vomiting blood blood in vomit , Sepsis unspecified organism,2,"{source:""GI Bleed Hematemesis vomiting blood blood in vomit"", target:""Sepsis unspecified organism"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Alcohol dependence with withdrawal unspecified,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Alcohol dependence with withdrawal unspecified"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Alcohol induced acute pancreatitis without necrosis or infct,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Alcohol induced acute pancreatitis without necrosis or infct"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Calculus of gallbladder w o cholecystitis w o obstruction,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Calculus of gallbladder w o cholecystitis w o obstruction"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Gastrointestinal hemorrhage unspecified,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Gastrointestinal hemorrhage unspecified"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Gastroparesis,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Gastroparesis"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Noninfective gastroenteritis and colitis unspecified,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Other chest pain,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Other chest pain"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Other chronic pain,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Other chronic pain"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Right lower quadrant pain,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Right lower quadrant pain"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Traum subdr hem w LOC of 30 minutes or less init,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Traum subdr hem w LOC of 30 minutes or less init"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Unsp intestnl obst unsp as to partial versus complete obst,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Unsp intestnl obst unsp as to partial versus complete obst"", value: 2}",
GI GU  Abdominal Pain Acute Onset , Urinary tract infection site not specified,2,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Urinary tract infection site not specified"", value: 2}",
GI GU  Bowel Obstruction , Unspecified intestinal obstruction,2,"{source:""GI GU Bowel Obstruction"", target:""Unspecified intestinal obstruction"", value: 2}",
GI GU  Diarrhea , Acute kidney failure unspecified,2,"{source:""GI GU Diarrhea"", target:""Acute kidney failure unspecified"", value: 2}",
GI GU  Diarrhea , Dehydration,2,"{source:""GI GU Diarrhea"", target:""Dehydration"", value: 2}",
GI GU  Diarrhea , Sepsis due to anaerobes,2,"{source:""GI GU Diarrhea"", target:""Sepsis due to anaerobes"", value: 2}",
GI GU  Generalized Abdominal Pain , Acute pancreatitis without necrosis or infection unsp,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Acute pancreatitis without necrosis or infection unsp"", value: 2}",
GI GU  Generalized Abdominal Pain , Gastroparesis,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Gastroparesis"", value: 2}",
GI GU  Generalized Abdominal Pain , Hypo osmolality and hyponatremia,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Hypo osmolality and hyponatremia"", value: 2}",
GI GU  Generalized Abdominal Pain , Nausea,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Nausea"", value: 2}",
GI GU  Generalized Abdominal Pain , Noninfective gastroenteritis and colitis unspecified,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}",
GI GU  Generalized Abdominal Pain , Pneumonia unspecified organism,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Pneumonia unspecified organism"", value: 2}",
GI GU  Generalized Abdominal Pain , Retention of urine unspecified,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Retention of urine unspecified"", value: 2}",
GI GU  Generalized Abdominal Pain , Right lower quadrant pain,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Right lower quadrant pain"", value: 2}",
GI GU  Generalized Abdominal Pain , Unspecified intestinal obstruction,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Unspecified intestinal obstruction"", value: 2}",
GI GU  Generalized Abdominal Pain , Upper abdominal pain unspecified,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Upper abdominal pain unspecified"", value: 2}",
GI GU  Generalized Abdominal Pain , Weakness,2,"{source:""GI GU Generalized Abdominal Pain"", target:""Weakness"", value: 2}",
GI GU  GU Problem Not Otherwise Listed , Cystitis unspecified without hematuria,2,"{source:""GI GU GU Problem Not Otherwise Listed"", target:""Cystitis unspecified without hematuria"", value: 2}",
GI GU  GU Problem Not Otherwise Listed , Encounter for attn to oth artif openings of urinary tract,2,"{source:""GI GU GU Problem Not Otherwise Listed"", target:""Encounter for attn to oth artif openings of urinary tract"", value: 2}",
GI GU  Nausea , Acute kidney failure unspecified,2,"{source:""GI GU Nausea"", target:""Acute kidney failure unspecified"", value: 2}",
GI GU  Nausea , Alcoholic gastritis without bleeding,2,"{source:""GI GU Nausea"", target:""Alcoholic gastritis without bleeding"", value: 2}",
GI GU  Nausea , Cerebral infarction due to embolism of unsp cerebral artery,2,"{source:""GI GU Nausea"", target:""Cerebral infarction due to embolism of unsp cerebral artery"", value: 2}",
GI GU  Nausea , Cerebral infarction unspecified,2,"{source:""GI GU Nausea"", target:""Cerebral infarction unspecified"", value: 2}",
GI GU  Nausea , Cyclical vomiting not intractable,2,"{source:""GI GU Nausea"", target:""Cyclical vomiting not intractable"", value: 2}",
GI GU  Nausea , Essential primary hypertension,2,"{source:""GI GU Nausea"", target:""Essential primary hypertension"", value: 2}",
GI GU  Nausea , Generalized abdominal pain,2,"{source:""GI GU Nausea"", target:""Generalized abdominal pain"", value: 2}",
GI GU  Nausea , Hypertensive heart disease with heart failure,2,"{source:""GI GU Nausea"", target:""Hypertensive heart disease with heart failure"", value: 2}",
GI GU  Nausea , Low back pain,2,"{source:""GI GU Nausea"", target:""Low back pain"", value: 2}",
GI GU  Nausea , Mild hyperemesis gravidarum,2,"{source:""GI GU Nausea"", target:""Mild hyperemesis gravidarum"", value: 2}",
GI GU  Nausea , Other chest pain,2,"{source:""GI GU Nausea"", target:""Other chest pain"", value: 2}",
GI GU  Nausea , Other specified sepsis,2,"{source:""GI GU Nausea"", target:""Other specified sepsis"", value: 2}",
GI GU  Nausea , Right upper quadrant pain,2,"{source:""GI GU Nausea"", target:""Right upper quadrant pain"", value: 2}",
GI GU  Nausea , Upper abdominal pain unspecified,2,"{source:""GI GU Nausea"", target:""Upper abdominal pain unspecified"", value: 2}",
GI GU  Nausea , Viral intestinal infection unspecified,2,"{source:""GI GU Nausea"", target:""Viral intestinal infection unspecified"", value: 2}",
GI GU  Nausea With Vomiting , Nausea with vomiting unspecified,2,"{source:""GI GU Nausea With Vomiting"", target:""Nausea with vomiting unspecified"", value: 2}",
GI GU  Nausea With Vomiting , Noninfective gastroenteritis and colitis unspecified,2,"{source:""GI GU Nausea With Vomiting"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}",
GI GU  Nausea With Vomiting , Opioid dependence with withdrawal,2,"{source:""GI GU Nausea With Vomiting"", target:""Opioid dependence with withdrawal"", value: 2}",
GI GU  Nausea With Vomiting , Viral intestinal infection unspecified,2,"{source:""GI GU Nausea With Vomiting"", target:""Viral intestinal infection unspecified"", value: 2}",
GI GU  Obesity , Sepsis unspecified organism,2,"{source:""GI GU Obesity"", target:""Sepsis unspecified organism"", value: 2}",
GI GU  Pelvic or Perineal Pain , Age rel osteopor w current path fracture left femur init,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Age rel osteopor w current path fracture left femur init"", value: 2}",
GI GU  Pelvic or Perineal Pain , Contusion of left hip initial encounter,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Contusion of left hip initial encounter"", value: 2}",
GI GU  Pelvic or Perineal Pain , Dislocation of internal right hip prosthesis init encntr,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Dislocation of internal right hip prosthesis init encntr"", value: 2}",
GI GU  Pelvic or Perineal Pain , Fracture of unsp part of neck of left femur init,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Fracture of unsp part of neck of left femur init"", value: 2}",
GI GU  Pelvic or Perineal Pain , Nondisplaced intertrochanteric fracture of right femur init,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Nondisplaced intertrochanteric fracture of right femur init"", value: 2}",
GI GU  Pelvic or Perineal Pain , Oth fracture of right pubis init encntr for closed fracture,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Oth fracture of right pubis init encntr for closed fracture"", value: 2}",
GI GU  Pelvic or Perineal Pain , Other specified diseases of anus and rectum,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Other specified diseases of anus and rectum"", value: 2}",
GI GU  Pelvic or Perineal Pain , Unsp intracapsular fracture of right femur init for clos fx,2,"{source:""GI GU Pelvic or Perineal Pain"", target:""Unsp intracapsular fracture of right femur init for clos fx"", value: 2}",
Hemorrhage not elsewhere classified , Epistaxis,2,"{source:""Hemorrhage not elsewhere classified"", target:""Epistaxis"", value: 2}",
Hemorrhage not elsewhere classified , Laceration without foreign body of scalp initial encounter,2,"{source:""Hemorrhage not elsewhere classified"", target:""Laceration without foreign body of scalp initial encounter"", value: 2}",
Hemorrhage not elsewhere classified , Unspecified injury of head initial encounter,2,"{source:""Hemorrhage not elsewhere classified"", target:""Unspecified injury of head initial encounter"", value: 2}",
Hemorrhage not elsewhere classified , Urinary tract infection site not specified,2,"{source:""Hemorrhage not elsewhere classified"", target:""Urinary tract infection site not specified"", value: 2}",
History of falling , Laceration without foreign body of scalp initial encounter,2,"{source:""History of falling"", target:""Laceration without foreign body of scalp initial encounter"", value: 2}",
Infectious  Common Cold , Acute bronchitis unspecified,2,"{source:""Infectious Common Cold"", target:""Acute bronchitis unspecified"", value: 2}",
Infectious  Common Cold , Sepsis unspecified organism,2,"{source:""Infectious Common Cold"", target:""Sepsis unspecified organism"", value: 2}",
Infectious  Common Cold , Weakness,2,"{source:""Infectious Common Cold"", target:""Weakness"", value: 2}",
Infectious  Disease Unspecified , Cellulitis of right lower limb,2,"{source:""Infectious Disease Unspecified"", target:""Cellulitis of right lower limb"", value: 2}",
Infectious  Disease Unspecified , Toxic encephalopathy,2,"{source:""Infectious Disease Unspecified"", target:""Toxic encephalopathy"", value: 2}",
Infectious  Influenza Flu Like Symptoms , Chronic obstructive pulmonary disease w acute exacerbation,2,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 2}",
Infectious  Influenza Flu Like Symptoms , Diarrhea unspecified,2,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Diarrhea unspecified"", value: 2}",
Infectious  Influenza Flu Like Symptoms , Flu due to unidentified influenza virus w oth resp manifest,2,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Flu due to unidentified influenza virus w oth resp manifest"", value: 2}",
Infectious  Influenza Flu Like Symptoms , Nausea with vomiting unspecified,2,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Nausea with vomiting unspecified"", value: 2}",
Infectious  Influenza Flu Like Symptoms , Unspecified abdominal pain,2,"{source:""Infectious Influenza Flu Like Symptoms"", target:""Unspecified abdominal pain"", value: 2}",
Infectious  Pneumonia , Acute on chronic diastolic congestive heart failure,2,"{source:""Infectious Pneumonia"", target:""Acute on chronic diastolic congestive heart failure"", value: 2}",
Infectious  Pneumonia , Hypertensive heart disease with heart failure,2,"{source:""Infectious Pneumonia"", target:""Hypertensive heart disease with heart failure"", value: 2}",
Infectious  Pneumonia , Other specified sepsis,2,"{source:""Infectious Pneumonia"", target:""Other specified sepsis"", value: 2}",
Infectious  Pneumonia , Pneumonitis due to inhalation of food and vomit,2,"{source:""Infectious Pneumonia"", target:""Pneumonitis due to inhalation of food and vomit"", value: 2}",
Infectious  Sepsis , Pneumonia unspecified organism,2,"{source:""Infectious Sepsis"", target:""Pneumonia unspecified organism"", value: 2}",
Infectious  Sepsis , Proc trtmt not crd out d t pt lv bef seen by hlth care prov,2,"{source:""Infectious Sepsis"", target:""Proc trtmt not crd out d t pt lv bef seen by hlth care prov"", value: 2}",
Infectious  Sepsis , Sepsis due to Methicillin resistant Staphylococcus aureus,2,"{source:""Infectious Sepsis"", target:""Sepsis due to Methicillin resistant Staphylococcus aureus"", value: 2}",
Infectious  Sepsis , Sepsis due to Pseudomonas,2,"{source:""Infectious Sepsis"", target:""Sepsis due to Pseudomonas"", value: 2}",
Injury  Ankle , Disp fx of lateral malleolus of right fibula init,2,"{source:""Injury Ankle"", target:""Disp fx of lateral malleolus of right fibula init"", value: 2}",
Injury  Ankle , Displaced trimalleol fx l low leg init for opn fx type I 2,2,"{source:""Injury Ankle"", target:""Displaced trimalleol fx l low leg init for opn fx type I 2"", value: 2}",
Injury  Elbow , Posterior dislocation of left ulnohumeral joint init encntr,2,"{source:""Injury Elbow"", target:""Posterior dislocation of left ulnohumeral joint init encntr"", value: 2}",
Injury  Eye and or Orbit , Laceration w o fb of left eyelid and periocular area init,2,"{source:""Injury Eye and or Orbit"", target:""Laceration w o fb of left eyelid and periocular area init"", value: 2}",
Injury  Eye and or Orbit , Opioid abuse uncomplicated,2,"{source:""Injury Eye and or Orbit"", target:""Opioid abuse uncomplicated"", value: 2}",
