,complaint,impression,diagnosis,count
5383,Diabetic Problem,Injury Of Body Of Pancreas ,Type 2 Diabetes Mellitus,5
5387,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,5
5395,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Pneumonia,3
5399,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,9
5404,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Type 1 Diabetes Mellitus,5
5405,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Type 2 Diabetes Mellitus,11
5437,Diabetic Problem,Not Recorded,Cerebral Infarction,3
5447,Diabetic Problem,Not Recorded,Sepsis,7
5450,Diabetic Problem,Not Recorded,Syncope And Collapse,3
5451,Diabetic Problem,Not Recorded,Type 1 Diabetes Mellitus,19
5452,Diabetic Problem,Not Recorded,Type 2 Diabetes Mellitus,9
5513,Diabetic Problem,Weakness,Sepsis,3
5515,Diabetic Problem,Weakness,Syncope And Collapse,4
5517,Diabetic Problem,Weakness,Type 1 Diabetes Mellitus,3
5518,Diabetic Problem,Weakness,Type 2 Diabetes Mellitus,10
5519,Diabetic Problem,Weakness,Urinary Tract Infection,3
5573,Falls,Abuse Of Alcohol,Alcohol Abuse,7
5574,Falls,Abuse Of Alcohol,Alcohol Dependence,8
5624,Falls,Alcohol Abuse With Intoxication,Alcohol Dependence,3
5664,Falls,Behavioral Suicidal Homicidal Ideation,Alcohol Abuse,3
5668,Falls,CV Cardiac Arrest,Cardiac Arrest,5
5678,Falls,CV Cardiac Arrhythmia Dysrhythmia,Syncope And Collapse,3
5700,Falls,CV Hypotension,Syncope And Collapse,3
5784,Falls,Fever,Sepsis,6
5839,Falls,GI GU Pelvic Or Perineal Pain,AgeRel Osteoporosis,3
5843,Falls,GI GU Pelvic Or Perineal Pain,Dislocation Of Internal Hip Prosthesis,3
5844,Falls,GI GU Pelvic Or Perineal Pain,Displaced Intertrochanteric Fracture Of Femur,10
5846,Falls,GI GU Pelvic Or Perineal Pain,Fracture Of Neck Of Femur,7
5847,Falls,GI GU Pelvic Or Perineal Pain,Fracture Of Pubis,3
5891,Falls,General Malaise,Sepsis,4
5901,Falls,Hemorrhage Not Elsewhere Classified,Laceration ,13
5907,Falls,History Of Falling,AgeRel Osteoporosis,5
5925,Falls,History Of Falling,Laceration ,4
5963,Falls,Injury Ankle,Displaced Bimalleolar Fracture Of Leg,8
5970,Falls,Injury Ankle,Displaced Trimalleol Fracturelo,3
5971,Falls,Injury Ankle,Displaced Trimalleolar Fracture Of Leg,5
5973,Falls,Injury Ankle,Fracture Of Lateral Malleolus Of Fibula,3
5974,Falls,Injury Ankle,Fracture Of Leg,3
5981,Falls,Injury Ankle,Sprain Of Ligament Of Ankle,6
6010,Falls,Injury Eye And Or Orbit,Fracture Of Orbital Floor,3
6034,Falls,Injury Face,Injury Of Head,9
6036,Falls,Injury Face,Laceration ,12
6046,Falls,Injury Foot,Fracture Of Calcaneus,3
6063,Falls,Injury Forearm,Laceration ,5
6069,Falls,Injury Head,Abrasion Of Head,3
6078,Falls,Injury Head,Concussion,16
6080,Falls,Injury Head,Contusion Of Head,5
6083,Falls,Injury Head,Contusion Of Scalp,10
6095,Falls,Injury Head,Fracture Of Nasal Bones,3
6102,Falls,Injury Head,Fracture Of The Of Radius,3
6105,Falls,Injury Head,Injury Of Head,38
6106,Falls,Injury Head,Intracranial Injury,6
6107,Falls,Injury Head,Laceration ,57
6119,Falls,Injury Head,Traumatic Subdr Hem,14
6120,Falls,Injury Head,Traumatic Subrac Hem,7
6127,Falls,Injury Head With Loc,Laceration ,5
6135,Falls,Injury Head Without Loc,Contusion Of Head,4
6145,Falls,Injury Head Without Loc,Injury Of Head,4
6146,Falls,Injury Head Without Loc,Laceration ,14
6151,Falls,Injury Hip,AgeRel Osteoporosis,12
6155,Falls,Injury Hip,Contusion Of Hip,11
6158,Falls,Injury Hip,Dislocation Of Internal Hip Prosthesis,9
6159,Falls,Injury Hip,Displaced Intertrochanteric Fracture Of Femur,49
6160,Falls,Injury Hip,Displaced Midcervical Fracture Of Femur,6
6162,Falls,Injury Hip,Displaced Subtrochanteric Fracture Of Femur,9
6168,Falls,Injury Hip,Fracture Of Head And Neck Of Femur,5
6169,Falls,Injury Hip,Fracture Of Neck Of Femur,22
6171,Falls,Injury Hip,Fracture Of Pubis,18
6177,Falls,Injury Hip,Injury Of Head,3
6180,Falls,Injury Hip,Intracapsular Fracture Of Femur,10
6182,Falls,Injury Hip,Laceration ,3
6184,Falls,Injury Hip,Multiple Fracture Of Pelvis,3
6191,Falls,Injury Hip,Pain In Hip,6
6212,Falls,Injury Lower Back,Concussion,3
6213,Falls,Injury Lower Back,Contusion Of Back And Pelvis,6
6214,Falls,Injury Lower Back,Contusion Of Back Wall Of Thorax,3
6217,Falls,Injury Lower Back,Dehydration,4
6222,Falls,Injury Lower Back,Fracture Of Lumbar Vertebra,10
6223,Falls,Injury Lower Back,Fracture Of One Rib,5
6225,Falls,Injury Lower Back,Fracture Of T11T12 Vertebra,3
6234,Falls,Injury Lower Back,Low Back Pain,7
6244,Falls,Injury Lower Back,Stable Burst Fracture Of Lumbar Vertebra,8
6246,Falls,Injury Lower Back,Strain Of Musclele,3
6256,Falls,Injury Lower Leg,AgeRel Osteoporosis,3
6261,Falls,Injury Lower Leg,Contusion Of Knee,7
6268,Falls,Injury Lower Leg,Displaced Bicondylar Fracture Of Tibia,5
6279,Falls,Injury Lower Leg,Displaced Spiral Fracture Of Shaft Of Tibia,3
6286,Falls,Injury Lower Leg,Fracture Of Femur,6
6290,Falls,Injury Lower Leg,Fracture Of Patella,12
6291,Falls,Injury Lower Leg,Fracture Of Shaft Of Tibia,4
6292,Falls,Injury Lower Leg,Fracture Of Tibia,3
6299,Falls,Injury Lower Leg,Intracapsular Fracture Of Femur,3
6300,Falls,Injury Lower Leg,Laceration ,5
6318,Falls,Injury Lower Leg,Sprain Of Site Of Knee,4
6331,Falls,Injury Neck,Injury Of Head,3
6337,Falls,Injury Neck,Strain Of Musclele,3
6354,Falls,Injury Not Otherwise Listed,Abrasion Of Hand,4
6365,Falls,Injury Not Otherwise Listed,AgeRel Osteoporosis,12
6366,Falls,Injury Not Otherwise Listed,Alcohol Abuse,6
6370,Falls,Injury Not Otherwise Listed,Anterior Dislocation Of Humerus,3
6379,Falls,Injury Not Otherwise Listed,Chest Pain,6
6384,Falls,Injury Not Otherwise Listed,Concussion,9
6386,Falls,Injury Not Otherwise Listed,Contusion Of Back And Pelvis,5
6389,Falls,Injury Not Otherwise Listed,Contusion Of Eyelid And Periocular Area,5
6392,Falls,Injury Not Otherwise Listed,Contusion Of Head,12
6393,Falls,Injury Not Otherwise Listed,Contusion Of Hip,10
6394,Falls,Injury Not Otherwise Listed,Contusion Of Knee,8
6395,Falls,Injury Not Otherwise Listed,Contusion Of Leg,3
6397,Falls,Injury Not Otherwise Listed,Contusion Of Scalp,9
6399,Falls,Injury Not Otherwise Listed,Contusion Of Shoulder,3
6404,Falls,Injury Not Otherwise Listed,Dementia,3
6410,Falls,Injury Not Otherwise Listed,Dislocation Of Hip,3
6411,Falls,Injury Not Otherwise Listed,Dislocation Of Internal Hip Prosthesis,6
6412,Falls,Injury Not Otherwise Listed,Dislocation Of Patella,4
6413,Falls,Injury Not Otherwise Listed,Dislocation Of Shoulder Joint,7
6414,Falls,Injury Not Otherwise Listed,Displaced Bicondylar Fracture Of Tibia,5
6416,Falls,Injury Not Otherwise Listed,Displaced Bimalleolar Fracture Of Leg,13
6420,Falls,Injury Not Otherwise Listed,Displaced Comminuted Fracture Shaft Of Humerus,3
6425,Falls,Injury Not Otherwise Listed,Displaced Intertrochanteric Fracture Of Femur,62
6426,Falls,Injury Not Otherwise Listed,Displaced Midcervical Fracture Of Femur,6
6427,Falls,Injury Not Otherwise Listed,Displaced Oblique Fracture Of Shaft Of Femur,3
6433,Falls,Injury Not Otherwise Listed,Displaced Spiral Fracture Shaft Of Humerus,5
6434,Falls,Injury Not Otherwise Listed,Displaced Subtrochanteric Fracture Of Femur,4
6435,Falls,Injury Not Otherwise Listed,Displaced Suprcndl Fracture,6
6437,Falls,Injury Not Otherwise Listed,Displaced Transverse Fracture Of Patella,3
6440,Falls,Injury Not Otherwise Listed,Displaced Trimalleol Fracturelo,3
6441,Falls,Injury Not Otherwise Listed,Displaced Trimalleolar Fracture Of Leg,15
6454,Falls,Injury Not Otherwise Listed,Fracture Of Calcaneus,3
6458,Falls,Injury Not Otherwise Listed,Fracture Of Femur,10
6459,Falls,Injury Not Otherwise Listed,Fracture Of Fibula,4
6462,Falls,Injury Not Otherwise Listed,Fracture Of Greater Tuberosity Of Humerus,3
6463,Falls,Injury Not Otherwise Listed,Fracture Of Head And Neck Of Femur,3
6465,Falls,Injury Not Otherwise Listed,Fracture Of Humerus,23
6469,Falls,Injury Not Otherwise Listed,Fracture Of Leg,4
6470,Falls,Injury Not Otherwise Listed,Fracture Of Lumbar Vertebra,10
6474,Falls,Injury Not Otherwise Listed,Fracture Of Nasal Bones,6
6475,Falls,Injury Not Otherwise Listed,Fracture Of Neck Of Femur,28
6479,Falls,Injury Not Otherwise Listed,Fracture Of Patella,4
6482,Falls,Injury Not Otherwise Listed,Fracture Of Pubis,10
6487,Falls,Injury Not Otherwise Listed,Fracture Of Shaft Of Humerus,3
6489,Falls,Injury Not Otherwise Listed,Fracture Of Superior Rim Of Pubis,4
6490,Falls,Injury Not Otherwise Listed,Fracture Of Surgical Neck Of Humerus,4
6493,Falls,Injury Not Otherwise Listed,Fracture Of The Of Radius,8
6496,Falls,Injury Not Otherwise Listed,Fracture Of Ulna,3
6511,Falls,Injury Not Otherwise Listed,Injury Of Head,26
6513,Falls,Injury Not Otherwise Listed,Injury Of Shoulder And Arm,6
6515,Falls,Injury Not Otherwise Listed,Injury Of Thorax,3
6517,Falls,Injury Not Otherwise Listed,Intartic Fracture Of Radius,6
6519,Falls,Injury Not Otherwise Listed,Internal Derangement Of Knee,3
6520,Falls,Injury Not Otherwise Listed,Intracapsular Fracture Of Femur,11
6521,Falls,Injury Not Otherwise Listed,Intracranial Injury,3
6524,Falls,Injury Not Otherwise Listed,Laceration ,85
6528,Falls,Injury Not Otherwise Listed,Low Back Pain,4
6535,Falls,Injury Not Otherwise Listed,Multiple Fractures Of Ribs,7
6539,Falls,Injury Not Otherwise Listed,Nondisplaced Intertrochanteric Fracture Of Femur,6
6550,Falls,Injury Not Otherwise Listed,Pain In Foot,5
6551,Falls,Injury Not Otherwise Listed,Pain In Hip,8
6552,Falls,Injury Not Otherwise Listed,Pain In Knee,4
6560,Falls,Injury Not Otherwise Listed,Periprosth Fracture Around Internal Prosthknee Jt,6
6564,Falls,Injury Not Otherwise Listed,Poisoning Conseq Of External Causes Comp Preg,3
6569,Falls,Injury Not Otherwise Listed,Rhabdomyolysis,3
6572,Falls,Injury Not Otherwise Listed,Sepsis,8
6575,Falls,Injury Not Otherwise Listed,Sprain Of Ligament Of Ankle,6
6578,Falls,Injury Not Otherwise Listed,Sprain Of Site Of Knee,6
6580,Falls,Injury Not Otherwise Listed,Stable Burst Fracture Of Lumbar Vertebra,4
6581,Falls,Injury Not Otherwise Listed,Stable Burst Fracture Of T11T12 Vertebra,5
6586,Falls,Injury Not Otherwise Listed,Strain Of Musclele,11
6587,Falls,Injury Not Otherwise Listed,Strain Of Quadriceps Musclele,3
6589,Falls,Injury Not Otherwise Listed,Syncope And Collapse,3
6592,Falls,Injury Not Otherwise Listed,Traumatic Ischemia Of Musclele,3
6593,Falls,Injury Not Otherwise Listed,Traumatic Subdr Hem,6
6594,Falls,Injury Not Otherwise Listed,Traumatic Subrac Hem,8
6597,Falls,Injury Not Otherwise Listed,Urinary Tract Infection,4
6612,Falls,Injury Of Cranial Nerve ,Injury Of Head,7
6613,Falls,Injury Of Cranial Nerve ,Laceration ,6
6626,Falls,Injury Pelvis,Cerebral Infarction,4
6627,Falls,Injury Pelvis,Contusion Of Hip,5
6632,Falls,Injury Pelvis,Fracture Of Pubis,3
6641,Falls,Injury Shoulder Or Upper Arm,Anterior Dislocation Of Humerus,3
6651,Falls,Injury Shoulder Or Upper Arm,Dislocation Of Shoulder Joint,4
6658,Falls,Injury Shoulder Or Upper Arm,Focal Tbi,3
6661,Falls,Injury Shoulder Or Upper Arm,Fracture Of Humerus,11
6667,Falls,Injury Shoulder Or Upper Arm,Fracture Of Surgical Neck Of Humerus,14
6672,Falls,Injury Shoulder Or Upper Arm,Laceration ,3
6675,Falls,Injury Shoulder Or Upper Arm,Pain In Shoulder,3
6683,Falls,Injury Shoulder Or Upper Arm,Strain Of Musclele,3
6685,Falls,Injury Shoulder Or Upper Arm,Traumatic Subdr Hem,3
6689,Falls,Injury Thigh Upper Leg,AgeRel Osteoporosis,4
6694,Falls,Injury Thigh Upper Leg,Displaced Intertrochanteric Fracture Of Femur,5
6696,Falls,Injury Thigh Upper Leg,Displaced Subtrochanteric Fracture Of Femur,7
6697,Falls,Injury Thigh Upper Leg,Displaced Suprcndl Fracture,3
6699,Falls,Injury Thigh Upper Leg,Fracture Of Femur,3
6704,Falls,Injury Thigh Upper Leg,Intracapsular Fracture Of Femur,3
6715,Falls,Injury Wrist Hand Or Fingers,Fracture Of The Of Radius,5
6727,Falls,Intracranial Stroke CVa Hemorrhagic,Laceration ,7
6734,Falls,Laceration ion Without Foreign Body Thigh Sequela,Laceration ,20
6764,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Kidney Failure,5
6767,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Respiratory Failure,3
6768,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Alcohol Abuse,3
6782,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Contusion Of Scalp,3
6791,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Encephalopathy,3
6809,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Injury Of Head,7
6813,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Laceration ,7
6816,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,NonSt Elevation Nstemi Myocardial Infarction,3
6832,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,15
6835,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Syncope And Collapse,7
6839,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Traumatic Subdr Hem,5
6840,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Traumatic Subrac Hem,8
6842,Falls,Neuro Altered Mental Status Altered Loc Decreased Loc,Urinary Tract Infection,7
6850,Falls,Neuro Headache Pain,Concussion,5
6853,Falls,Neuro Headache Pain,Contusion Of Scalp,4
6855,Falls,Neuro Headache Pain,Headache,3
6857,Falls,Neuro Headache Pain,Injury Of Head,8
6858,Falls,Neuro Headache Pain,Laceration ,6
6872,Falls,Neuro Seizure,Convulsions,6
6873,Falls,Neuro Seizure,Epilepsy,6
6877,Falls,Neuro Stroke CVa,Cerebral Infarction,11
6885,Falls,Neuro Stroke CVa,NonTraumatic Intracerebral Hemorrhage,4
6891,Falls,Neuro Tia Transient Ischemic Attack,Cerebral Infarction,3
6915,Falls,Not Applicable,Displaced Intertrochanteric Fracture Of Femur,4
6939,Falls,Not Applicable,Injury Of Head,3
6940,Falls,Not Applicable,Intracapsular Fracture Of Femur,3
6942,Falls,Not Applicable,Laceration ,3
6950,Falls,Not Applicable,Sepsis,3
6953,Falls,Not Applicable,Strain Of Musclele,3
6954,Falls,Not Applicable,Syncope And Collapse,3
6962,Falls,Not Recorded,Acute Kidney Failure,5
6964,Falls,Not Recorded,AgeRel Osteoporosis,8
6965,Falls,Not Recorded,Alcohol Abuse,3
6968,Falls,Not Recorded,Cerebral Infarction,5
6971,Falls,Not Recorded,Concussion,5
6976,Falls,Not Recorded,Contusion Of Hip,8
6978,Falls,Not Recorded,Contusion Of Scalp,5
6987,Falls,Not Recorded,Displaced Bicondylar Fracture Of Tibia,3
6989,Falls,Not Recorded,Displaced Bimalleolar Fracture Of Leg,3
6992,Falls,Not Recorded,Displaced Intertrochanteric Fracture Of Femur,18
6998,Falls,Not Recorded,Displaced Subtrochanteric Fracture Of Femur,3
6999,Falls,Not Recorded,Displaced Suprcndl Fracture,3
7001,Falls,Not Recorded,Displaced Trimalleolar Fracture Of Leg,5
7006,Falls,Not Recorded,Fracture Of Femur,4
7012,Falls,Not Recorded,Fracture Of Humerus,4
7015,Falls,Not Recorded,Fracture Of Nasal Bones,3
7016,Falls,Not Recorded,Fracture Of Neck Of Femur,3
7027,Falls,Not Recorded,Fracture Of The Of Radius,4
7038,Falls,Not Recorded,Intracapsular Fracture Of Femur,6
7041,Falls,Not Recorded,Laceration ,13
7045,Falls,Not Recorded,Multiple Fractures Of Ribs,4
7066,Falls,Not Recorded,Sepsis,14
7076,Falls,Not Recorded,Syncope And Collapse,11
7079,Falls,Not Recorded,Traumatic Subdr Hem,4
7080,Falls,Not Recorded,Traumatic Subrac Hem,7
7084,Falls,Not Recorded,Urinary Tract Infection,6
7106,Falls,Pain,AgeRel Osteoporosis,13
7114,Falls,Pain,Chronic Pain,3
7115,Falls,Pain,Collapsed Vertebra,5
7118,Falls,Pain,Contusion Of Back And Pelvis,4
7120,Falls,Pain,Contusion Of Head,7
7121,Falls,Pain,Contusion Of Hip,6
7122,Falls,Pain,Contusion Of Knee,4
7133,Falls,Pain,Displaced Bimalleolar Fracture Of Leg,4
7135,Falls,Pain,Displaced Intertrochanteric Fracture Of Femur,8
7143,Falls,Pain,Fracture Of Greater Trochanter Of Femur,4
7147,Falls,Pain,Fracture Of Humerus,4
7150,Falls,Pain,Fracture Of Lumbar Vertebra,5
7152,Falls,Pain,Fracture Of Neck Of Femur,4
7160,Falls,Pain,Fracture Of The Of Radius,3
7175,Falls,Pain,Intracapsular Fracture Of Femur,6
7177,Falls,Pain,Laceration ,9
7178,Falls,Pain,Low Back Pain,7
7187,Falls,Pain,Pain In Hip,10
7188,Falls,Pain,Pain In Knee,3
7197,Falls,Pain,Sepsis,6
7200,Falls,Pain,Sprain Of Ligament Of Ankle,4
7204,Falls,Pain,Strain Of Musclele,5
7213,Falls,Pain,Wedge Compression Fracture Of Lumbar Vertebra,3
7226,Falls,Pain Back Nontraumatic,Chronic Pain,3
7227,Falls,Pain Back Nontraumatic,Collapsed Vertebra,6
7229,Falls,Pain Back Nontraumatic,Contusion Of Back And Pelvis,6
7230,Falls,Pain Back Nontraumatic,Contusion Of Back Wall Of Thorax,3
7233,Falls,Pain Back Nontraumatic,Contusion Of Hip,3
7237,Falls,Pain Back Nontraumatic,Dehydration,4
7241,Falls,Pain Back Nontraumatic,Dorsalgia,3
7247,Falls,Pain Back Nontraumatic,Fracture Of Lumbar Vertebra,6
7252,Falls,Pain Back Nontraumatic,Fracture Of T11T12 Vertebra,4
7260,Falls,Pain Back Nontraumatic,Injury Of Head,4
7263,Falls,Pain Back Nontraumatic,Low Back Pain,14
7264,Falls,Pain Back Nontraumatic,Lumbago,3
7265,Falls,Pain Back Nontraumatic,Multiple Fractures Of Ribs,3
7283,Falls,Pain Back Nontraumatic,Rhabdomyolysis,3
7285,Falls,Pain Back Nontraumatic,Sepsis,4
7288,Falls,Pain Back Nontraumatic,Strain Of Musclele,10
7295,Falls,Pain Back Nontraumatic,Wedge Compression Fracture Of Lumbar Vertebra,3
7299,Falls,Pain Chest Presumed Noncardiac,Contusion Of Front Wall Of Thorax,4
7305,Falls,Pain Chest Presumed Noncardiac,Multiple Fractures Of Ribs,9
7335,Falls,Pain Extremety Nontraumatic,Displaced Intertrochanteric Fracture Of Femur,5
7391,Falls,Pain Not Elsewhere Mentioned Sudden Onset,AgeRel Osteoporosis,3
7400,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Concussion,4
7405,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Contusion Of Hip,3
7406,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Contusion Of Knee,3
7414,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Displaced Intertrochanteric Fracture Of Femur,9
7425,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Fracture Of Humerus,3
7430,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Fracture Of One Rib,5
7432,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Fracture Of Pubis,3
7443,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Injury Of Head,9
7447,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Laceration ,9
7453,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Multiple Fractures Of Ribs,3
7465,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Sepsis,3
7468,Falls,Pain Not Elsewhere Mentioned Sudden Onset,Strain Of Musclele,7
7486,Falls,Repeated Falls,Concussion,3
7508,Falls,Repeated Falls,Traumatic Subdr Hem,4
7530,Falls,Sepsis Other,Sepsis,3
7567,Falls,Syncope Syncopal Episode Or Near,Epilepsy,3
7575,Falls,Syncope Syncopal Episode Or Near,Injury Of Head,3
7577,Falls,Syncope Syncopal Episode Or Near,Laceration ,5
7590,Falls,Syncope Syncopal Episode Or Near,Syncope And Collapse,18
7605,Falls,Weakness,Acute Kidney Failure,6
7612,Falls,Weakness,Altered Mental Status,5
7627,Falls,Weakness,Concussion,3
7630,Falls,Weakness,Contusion Of Head,3
7631,Falls,Weakness,Contusion Of Hip,4
7637,Falls,Weakness,Dehydration,4
7640,Falls,Weakness,Displaced Intertrochanteric Fracture Of Femur,4
7644,Falls,Weakness,Dizziness And Giddiness,3
7648,Falls,Weakness,Encephalopathy,5
7651,Falls,Weakness,Flu,3
7656,Falls,Weakness,Fracture Of Lumbar Vertebra,7
7657,Falls,Weakness,Fracture Of Nasal Bones,3
7683,Falls,Weakness,Injury Of Head,10
7689,Falls,Weakness,Laceration ,7
7694,Falls,Weakness,Multiple Fractures Of Ribs,5
7712,Falls,Weakness,Pneumonia,5
7713,Falls,Weakness,Pneumonitis,6
7721,Falls,Weakness,Rhabdomyolysis,3
7723,Falls,Weakness,Sepsis,48
7735,Falls,Weakness,Syncope And Collapse,7
7740,Falls,Weakness,Traumatic Ischemia Of Musclele,4
7741,Falls,Weakness,Traumatic Subdr Hem,4
7743,Falls,Weakness,Type 2 Diabetes Mellitus,5
7746,Falls,Weakness,Urinary Tract Infection,12
7747,Falls,Weakness,Weakness,30
7791,Headache,Neuro Headache Migraine Pain,Headache,16
7794,Headache,Neuro Headache Migraine Pain,Migraine,8
7811,Headache,Neuro Headache Pain,Headache,38
7822,Headache,Neuro Headache Pain,Migraine,8
7833,Headache,Neuro Seizure,Cellulitis Of Head [Any Part,4
7840,Headache,Not Applicable,Headache,5
7863,Headache,Pain Not Elsewhere Mentioned Sudden Onset,NonTraumatic Subacute Subdural Hemorrhage,4
7874,Headache,Weakness,Dizziness And Giddiness,3
7875,Headache,Weakness,Headache,3
7887,Heart Problems AICD,Behavioral Anxiety,Anxiety Disorder,7
7892,Heart Problems AICD,Behavioral Anxiety,Panic Disorder [Episodic Paroxysmal Anxiety],3
7916,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Anxiety Disorder,6
7917,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Atrial Fibrillation,22
7918,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Atrial Flutter,3
7923,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Chest Pain,5
7937,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Palpitations,9
7939,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Paroxysmal Atrial Fibrillation,7
7941,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Supraventricular Tachycardia,19
7944,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Ventricular Fibrillation,4
7946,Heart Problems AICD,CV Cardiac Arrhythmia Dysrhythmia,Ventricular Tachycardia,4
7949,Heart Problems AICD,CV Chest Pain Angina,Chest Pain,6
7961,Heart Problems AICD,CV Chest Pain Presumed Cardiac,Acute Ischemic Heart Disease,3
7966,Heart Problems AICD,CV Chest Pain Presumed Cardiac,Chest Pain,22
7987,Heart Problems AICD,CV Hypertension,Essential Primary Hypertension,6
7998,Heart Problems AICD,CV Hypotension,Hypotension,3
8013,Heart Problems AICD,Chest Pain,Chest Pain,7
8019,Heart Problems AICD,Chest Pain,Palpitations,3
8047,Heart Problems AICD,General Malaise,Sepsis,3
8093,Heart Problems AICD,Not Recorded,Chest Pain,6
8105,Heart Problems AICD,Not Recorded,Supraventricular Tachycardia,3
8106,Heart Problems AICD,Not Recorded,Syncope And Collapse,3
8117,Heart Problems AICD,Pain Chest Presumed Noncardiac,Chest Pain,6
8130,Heart Problems AICD,Respiratory Acute Onset Distress,Chronic Obstructive Pulmonary Disease,3
8155,Heart Problems AICD,Syncope Syncopal Episode Or Near,Syncope And Collapse,4
8176,Heart Problems AICD,Weakness,Paroxysmal Atrial Fibrillation,3
8178,Heart Problems AICD,Weakness,Supraventricular Tachycardia,3
8205,Heat Cold Exposure,Environment Heat Exhaustion,Heat Exhaustion,4
8216,Heat Cold Exposure,Environment Heatstroke,Heatstroke And Sunstroke,3
8273,Hemorrhage Laceration ion,Abuse Of Alcohol,Alcohol Abuse,5
8274,Hemorrhage Laceration ion,Abuse Of Alcohol,Alcohol Dependence,3
8307,Hemorrhage Laceration ion,Behavioral Mental Disorder Not Otherwise Listed,Laceration ,3
8308,Hemorrhage Laceration ion,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,5
8314,Hemorrhage Laceration ion,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,5
8332,Hemorrhage Laceration ion,Behavioral Suicide Attempt,Major Depressive Disorder,4
8338,Hemorrhage Laceration ion,Behavioral Suicide Attempt,Suicidal Ideations,3
8356,Hemorrhage Laceration ion,CV Hypertension,Epistaxis,3
8389,Hemorrhage Laceration ion,Eent Nose Bleed,Epistaxis,44
8422,Hemorrhage Laceration ion,GI GU Generalized Abdominal Pain,Abnormal Uterine And Vaginal Bleeding,3
8427,Hemorrhage Laceration ion,GI GU Generalized Abdominal Pain,Bipolar Disorder,3
8434,Hemorrhage Laceration ion,GI GU Generalized Abdominal Pain,Fracture Of Metacarpal Bone,3
8448,Hemorrhage Laceration ion,GI GU Generalized Abdominal Pain,Suicidal Ideations,3
8485,Hemorrhage Laceration ion,GI GU Vaginal Bleeding,Abnormal Uterine And Vaginal Bleeding,11
8491,Hemorrhage Laceration ion,Gastrointestinal Hemorrhage,Chronic Or Gastric Ulcer,3
8495,Hemorrhage Laceration ion,Gastrointestinal Hemorrhage,Gastrointestinal Hemorrhage,4
8518,Hemorrhage Laceration ion,Gi Bleed Bloody Stool,Dvrtclos Of Lg Int,3
8523,Hemorrhage Laceration ion,Gi Bleed Bloody Stool,Hemorrhage Of Anus And Rectum,3
8525,Hemorrhage Laceration ion,Gi Bleed Bloody Stool,Melena,3
8529,Hemorrhage Laceration ion,Gi Bleed Bloody Stool,Sepsis,3
8544,Hemorrhage Laceration ion,Gi Bleed Hematemesis Vomiting Blood Blood In Vomit,Gastrointestinal Hemorrhage,4
8561,Hemorrhage Laceration ion,Hemorrhage Not Elsewhere Classified,Alcohol Abuse,4
8573,Hemorrhage Laceration ion,Hemorrhage Not Elsewhere Classified,Encounter For Administrative Examinations,4
8575,Hemorrhage Laceration ion,Hemorrhage Not Elsewhere Classified,Epistaxis,16
8585,Hemorrhage Laceration ion,Hemorrhage Not Elsewhere Classified,Hematuria,4
8587,Hemorrhage Laceration ion,Hemorrhage Not Elsewhere Classified,Hemorrhage,4
