,complaint,impression,diagnosis,count
4309,Chest Pain NonTraumatic,Respiratory Acute Onset Distress,Chest Pain,7
4310,Chest Pain NonTraumatic,Respiratory Acute Onset Distress,Chronic Obstructive Pulmonary Disease,4
4321,Chest Pain NonTraumatic,Respiratory Acute Onset Distress,Pneumonia,5
4322,Chest Pain NonTraumatic,Respiratory Acute Onset Distress,Sepsis,9
4338,Chest Pain NonTraumatic,Respiratory Hyperventilation,Anxiety Disorder,2
4345,Chest Pain NonTraumatic,Respiratory Not Otherwise Listed,Chest Pain,2
4346,Chest Pain NonTraumatic,Respiratory Not Otherwise Listed,Dyspnea,2
4353,Chest Pain NonTraumatic,Respiratory Not Otherwise Listed,Pulmonary Embolism,2
4358,Chest Pain NonTraumatic,Shoulder Lesions Shoulder,Chest Pain,10
4369,Chest Pain NonTraumatic,Syncope Syncopal Episode Or Near,Chest Pain,2
4374,Chest Pain NonTraumatic,Syncope Syncopal Episode Or Near,Orthostatic Hypotension,2
4376,Chest Pain NonTraumatic,Syncope Syncopal Episode Or Near,Syncope And Collapse,6
4385,Chest Pain NonTraumatic,Weakness,Anxiety Disorder,2
4390,Chest Pain NonTraumatic,Weakness,Chest Pain,15
4392,Chest Pain NonTraumatic,Weakness,Dizziness And Giddiness,3
4404,Chest Pain NonTraumatic,Weakness,NonSt Elevation Nstemi Myocardial Infarction,2
4411,Chest Pain NonTraumatic,Weakness,Pneumonia,3
4413,Chest Pain NonTraumatic,Weakness,Sepsis,3
4414,Chest Pain NonTraumatic,Weakness,Stemi Involving Coronary Artery Of Inferior Wall,2
4422,Chest Pain NonTraumatic,Weakness,Weakness,4
4442,Choking,GI GU Esophageal Obstruction,Food In Esophagus Causing Injury,3
4487,Choking,Respiratory Foreign Body Airway,Food In Esophagus Causing Injury,6
4488,Choking,Respiratory Foreign Body Airway,Food In Pharynx Causing Injury,2
4489,Choking,Respiratory Foreign Body Airway,Food In Resp Tract,3
4502,Convulsions Seizure,Abuse Of Alcohol,Alcohol Abuse,6
4503,Convulsions Seizure,Abuse Of Alcohol,Alcohol Dependence,19
4504,Convulsions Seizure,Abuse Of Alcohol,Anxiety Disorder,2
4507,Convulsions Seizure,Abuse Of Alcohol,Nausea,2
4516,Convulsions Seizure,Abuse Of Alcohol Withdrawal,Alcohol Abuse,2
4517,Convulsions Seizure,Abuse Of Alcohol Withdrawal,Alcohol Dependence,10
4518,Convulsions Seizure,Abuse Of Alcohol Withdrawal,Convulsions,3
4520,Convulsions Seizure,Abuse Of Narcotic Ie Heroin,Opioid Abuse,2
4521,Convulsions Seizure,Abuse Of Narcotic Ie Heroin,Poisoning By Opioids,2
4530,Convulsions Seizure,Abuse Of Psychoactive Substance,Alcohol Dependence,5
4531,Convulsions Seizure,Abuse Of Psychoactive Substance,Altered Mental Status,2
4532,Convulsions Seizure,Abuse Of Psychoactive Substance,Epilepsy,2
4533,Convulsions Seizure,Abuse Of Psychoactive Substance,Poisoning By 4Aminophenol Derivatives,2
4543,Convulsions Seizure,Behavioral Anxiety,Anxiety Disorder,2
4548,Convulsions Seizure,Behavioral Anxiety,Injury Of Head,2
4551,Convulsions Seizure,Behavioral Anxiety,Sedatv Hyp Anxiolytc Dependence,2
4555,Convulsions Seizure,Behavioral Anxiety,Syncope And Collapse,2
4557,Convulsions Seizure,Behavioral Depression,Alcoholic Cirrhosis Of Liver,2
4558,Convulsions Seizure,Behavioral Depression,Anxiety Disorder,2
4560,Convulsions Seizure,Behavioral Depression,Epilepsy,2
4563,Convulsions Seizure,Behavioral Disorientation,Convulsions,2
4567,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Abuse,3
4568,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Dependence,2
4569,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Altered Mental Status,2
4570,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,2
4573,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Conversion Disorder,3
4574,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Convulsions,11
4575,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Epilepsy,5
4577,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,7
4582,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Personality Disorder,2
4585,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Abuse,2
4586,Convulsions Seizure,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,2
4597,Convulsions Seizure,Behavioral Suicidal Homicidal Ideation,Alcohol Dependence,2
4599,Convulsions Seizure,Behavioral Suicidal Homicidal Ideation,Suicidal Ideations,3
4600,Convulsions Seizure,Behavioral Suicide Attempt,Major Depressive Disorder,2
4603,Convulsions Seizure,CV Cardiac Arrest,Cardiac Arrest,5
4622,Convulsions Seizure,Convulsions,Alcohol Abuse,6
4623,Convulsions Seizure,Convulsions,Alcohol Dependence,21
4628,Convulsions Seizure,Convulsions,Anxiety Disorder,3
4630,Convulsions Seizure,Convulsions,Benign Neoplasm Of Cerebral Meninges,2
4636,Convulsions Seizure,Convulsions,Complex Febrile Convulsions,2
4638,Convulsions Seizure,Convulsions,Conversion Disorder,8
4639,Convulsions Seizure,Convulsions,Convulsions,120
4641,Convulsions Seizure,Convulsions,Dehydration,2
4649,Convulsions Seizure,Convulsions,Encounter For Examination And Observation For Reasons,2
4652,Convulsions Seizure,Convulsions,Epilepsy,154
4656,Convulsions Seizure,Convulsions,Generalized Epilepsy,14
4657,Convulsions Seizure,Convulsions,Headache,2
4660,Convulsions Seizure,Convulsions,HypoOsmolality And Hyponatremia,2
4661,Convulsions Seizure,Convulsions,Hypoglycemia,3
4662,Convulsions Seizure,Convulsions,Injury Of Head,3
4663,Convulsions Seizure,Convulsions,Intracranial Injury,2
4664,Convulsions Seizure,Convulsions,Laceration ,3
4665,Convulsions Seizure,Convulsions,LocalRel Symptc Epi,6
4666,Convulsions Seizure,Convulsions,Major Depressive Disorder,2
4667,Convulsions Seizure,Convulsions,Migraine,2
4671,Convulsions Seizure,Convulsions,Nausea,2
4681,Convulsions Seizure,Convulsions,Psychoactive Substance Abuse,2
4682,Convulsions Seizure,Convulsions,Psychoactive Substance Use,2
4685,Convulsions Seizure,Convulsions,Seizures,12
4686,Convulsions Seizure,Convulsions,Sepsis,3
4688,Convulsions Seizure,Convulsions,Simple Febrile Convulsions,14
4690,Convulsions Seizure,Convulsions,Stimulant Abuse,2
4691,Convulsions Seizure,Convulsions,Strain Muscle Fasc Tend At Shldr Up Arm,2
4693,Convulsions Seizure,Convulsions,Syncope And Collapse,16
4697,Convulsions Seizure,Convulsions,Urinary Tract Infection,2
4700,Convulsions Seizure,Dehydration,Syncope And Collapse,2
4706,Convulsions Seizure,Endocrine Hyperglycemia Diabetic Diabetes,Epilepsy,2
4707,Convulsions Seizure,Endocrine Hypoglycemia Diabetic Diabetes,Convulsions,2
4711,Convulsions Seizure,Endocrine Hypoglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,4
4713,Convulsions Seizure,Environment Heat Exhaustion,Poisoning By Antidepressants,2
4714,Convulsions Seizure,Environment Heat Exhaustion,Poisoning By Drug Meds Biol Subst,2
4719,Convulsions Seizure,Epilepsy And Recurrent Seizures,Convulsions,7
4720,Convulsions Seizure,Epilepsy And Recurrent Seizures,Epilepsy,18
4721,Convulsions Seizure,Epilepsy And Recurrent Seizures,Generalized Epilepsy,3
4727,Convulsions Seizure,Epilepsy And Recurrent Seizures,Seizures,7
4733,Convulsions Seizure,Fever,Fever,4
4735,Convulsions Seizure,Fever,Simple Febrile Convulsions,8
4737,Convulsions Seizure,GI GU Abdominal Pain Acute Onset,Chronic Pain,2
4738,Convulsions Seizure,GI GU Abdominal Pain Acute Onset,Intussusception,2
4740,Convulsions Seizure,GI GU Generalized Abdominal Pain,Epigastric Pain,2
4754,Convulsions Seizure,General Malaise,Anxiety Disorder,4
4757,Convulsions Seizure,General Malaise,Convulsions,2
4767,Convulsions Seizure,Hemorrhage Not Elsewhere Classified,Syncope And Collapse,2
4778,Convulsions Seizure,Injury Head,Laceration ,3
4780,Convulsions Seizure,Injury Head,NonTraumatic Subdural Hemorrhage,2
4781,Convulsions Seizure,Injury Head,Traumatic Subdr Hem,2
4786,Convulsions Seizure,Injury Not Otherwise Listed,Convulsions,2
4798,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Alcohol Abuse,2
4799,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Alcohol Dependence,4
4800,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,4
4801,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Anxiety Disorder,2
4808,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Convulsions,28
4812,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Epilepsy,38
4814,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Generalized Epilepsy,11
4819,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Injury Of Foot,2
4821,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Laceration ,4
4822,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,LocalRel Symptc Epi,2
4825,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Otitis Media,2
4830,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Poisoning By Benzodiazepines,2
4835,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Seizures,4
4836,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,2
4837,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Simple Febrile Convulsions,2
4840,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Syncope And Collapse,6
4841,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Toxic Encephalopathy,2
4842,Convulsions Seizure,Neuro Altered Mental Status Altered Loc Decreased Loc,Traumatic Subdr Hem,2
4845,Convulsions Seizure,Neuro Headache Migraine Pain,Migraine,2
4858,Convulsions Seizure,Neuro Seizure,Abnormal Involuntary Movements,2
4865,Convulsions Seizure,Neuro Seizure,Acute Respiratory Failure,3
4867,Convulsions Seizure,Neuro Seizure,Alcohol Abuse,5
4868,Convulsions Seizure,Neuro Seizure,Alcohol Dependence,21
4873,Convulsions Seizure,Neuro Seizure,Altered Mental Status,5
4874,Convulsions Seizure,Neuro Seizure,Anxiety Disorder,7
4881,Convulsions Seizure,Neuro Seizure,Cerebral Infarction,3
4883,Convulsions Seizure,Neuro Seizure,Chest Pain,4
4886,Convulsions Seizure,Neuro Seizure,Complex Febrile Convulsions,6
4887,Convulsions Seizure,Neuro Seizure,Concussion,2
4890,Convulsions Seizure,Neuro Seizure,Contusion Of Head,3
4892,Convulsions Seizure,Neuro Seizure,Contusion Of Shoulder,2
4893,Convulsions Seizure,Neuro Seizure,Conversion Disorder,10
4894,Convulsions Seizure,Neuro Seizure,Convulsions,176
4898,Convulsions Seizure,Neuro Seizure,Diseases Of The Nervous Sys Comp Pregnancy,3
4904,Convulsions Seizure,Neuro Seizure,Epidural Hemorrhage,3
4905,Convulsions Seizure,Neuro Seizure,Epigastric Pain,3
4906,Convulsions Seizure,Neuro Seizure,Epilepsy,241
4907,Convulsions Seizure,Neuro Seizure,Epileptic Seiz Rel To Extrn Causes,3
4914,Convulsions Seizure,Neuro Seizure,Flu,2
4915,Convulsions Seizure,Neuro Seizure,Fracture Of Base Of Skull,2
4917,Convulsions Seizure,Neuro Seizure,Fracture Of Lumbar Vertebra,2
4921,Convulsions Seizure,Neuro Seizure,Generalized Anxiety Disorder,6
4922,Convulsions Seizure,Neuro Seizure,Generalized Epilepsy,48
4924,Convulsions Seizure,Neuro Seizure,Hallucinations,2
4925,Convulsions Seizure,Neuro Seizure,Headache,8
4926,Convulsions Seizure,Neuro Seizure,Hemorrhage Of Anus And Rectum,2
4928,Convulsions Seizure,Neuro Seizure,HypoOsmolality And Hyponatremia,3
4929,Convulsions Seizure,Neuro Seizure,Hypoglycemia,2
4930,Convulsions Seizure,Neuro Seizure,Injury Of Head,4
4931,Convulsions Seizure,Neuro Seizure,Injury Of Shoulder And Arm,2
4933,Convulsions Seizure,Neuro Seizure,Intracranial Injury,3
4934,Convulsions Seizure,Neuro Seizure,Laceration ,10
4935,Convulsions Seizure,Neuro Seizure,LocalRel Symptc Epi,7
4936,Convulsions Seizure,Neuro Seizure,Major Depressive Disorder,2
4939,Convulsions Seizure,Neuro Seizure,Malingerer [Conscious Simulation],3
4946,Convulsions Seizure,Neuro Seizure,Neoplasm Of Behavior Of Brain,2
4952,Convulsions Seizure,Neuro Seizure,Pneumonia,2
4954,Convulsions Seizure,Neuro Seizure,Poisoning By Benzodiazepines,3
4955,Convulsions Seizure,Neuro Seizure,Poisoning By Drug Meds Biol Subst,3
4959,Convulsions Seizure,Neuro Seizure,Post Traumatic Seizures,2
4960,Convulsions Seizure,Neuro Seizure,Pregnancy Related Conditions,2
4965,Convulsions Seizure,Neuro Seizure,Sedatv Hyp Anxiolytc Dependence,4
4966,Convulsions Seizure,Neuro Seizure,Seizures,35
4967,Convulsions Seizure,Neuro Seizure,Sepsis,5
4969,Convulsions Seizure,Neuro Seizure,Simple Febrile Convulsions,32
4970,Convulsions Seizure,Neuro Seizure,Somatoform Disorder,2
4974,Convulsions Seizure,Neuro Seizure,Stimulant Abuse,3
4975,Convulsions Seizure,Neuro Seizure,Strain Muscle Fasc Tend At Shldr Up Arm,2
4976,Convulsions Seizure,Neuro Seizure,Strain Of Musclele,2
4978,Convulsions Seizure,Neuro Seizure,Syncope And Collapse,22
4981,Convulsions Seizure,Neuro Seizure,Toxic Effect Of Ethanol,2
4983,Convulsions Seizure,Neuro Seizure,Traumatic Subdr Hem,4
4984,Convulsions Seizure,Neuro Seizure,Tremor,5
4986,Convulsions Seizure,Neuro Seizure,Type 2 Diabetes Mellitus,2
4987,Convulsions Seizure,Neuro Seizure,Urinary Tract Infection,4
4988,Convulsions Seizure,Neuro Seizure,Varicella,2
4989,Convulsions Seizure,Neuro Seizure,Viral Intestinal Infection,3
4993,Convulsions Seizure,Neuro Status Epilepticus Seizure,Ataxia,2
4994,Convulsions Seizure,Neuro Status Epilepticus Seizure,Contusion Of Eyelid And Periocular Area,2
4996,Convulsions Seizure,Neuro Status Epilepticus Seizure,Conversion Disorder,2
4997,Convulsions Seizure,Neuro Status Epilepticus Seizure,Convulsions,17
4999,Convulsions Seizure,Neuro Status Epilepticus Seizure,Epilepsy,31
5002,Convulsions Seizure,Neuro Status Epilepticus Seizure,LocalRel Symptc Epi,2
5009,Convulsions Seizure,Neuro Status Epilepticus Seizure,Seizures,4
5014,Convulsions Seizure,Neuro Stroke CVa,Convulsions,2
5021,Convulsions Seizure,Neuro Unconcious,Convulsions,2
5022,Convulsions Seizure,Neuro Unconcious,Epilepsy,2
5034,Convulsions Seizure,Not Applicable,Convulsions,6
5036,Convulsions Seizure,Not Applicable,Epilepsy,6
5042,Convulsions Seizure,Not Applicable,Seizures,2
5044,Convulsions Seizure,Not Applicable,Syncope And Collapse,2
5048,Convulsions Seizure,Not Recorded,Alcohol Dependence,5
5056,Convulsions Seizure,Not Recorded,Convulsions,45
5058,Convulsions Seizure,Not Recorded,Disorientation,2
5063,Convulsions Seizure,Not Recorded,Epilepsy,39
5067,Convulsions Seizure,Not Recorded,Generalized Epilepsy,5
5075,Convulsions Seizure,Not Recorded,Laceration ,2
5077,Convulsions Seizure,Not Recorded,LocalRel Symptc Epi,4
5081,Convulsions Seizure,Not Recorded,Opioid Dependence,2
5084,Convulsions Seizure,Not Recorded,Poisoning By Heroin,2
5090,Convulsions Seizure,Not Recorded,Sedatv Hyp Anxiolytc Dependence,4
5091,Convulsions Seizure,Not Recorded,Seizures,2
5092,Convulsions Seizure,Not Recorded,Simple Febrile Convulsions,5
5093,Convulsions Seizure,Not Recorded,Syncope And Collapse,8
5099,Convulsions Seizure,Not Recorded,Urinary Tract Infection,2
5105,Convulsions Seizure,Pain,Convulsions,2
5109,Convulsions Seizure,Pain Back Nontraumatic,Stable Burst Fracture Of T11T12 Vertebra,2
5114,Convulsions Seizure,Pain Not Elsewhere Mentioned Sudden Onset,Anxiety Disorder,2
5128,Convulsions Seizure,Respiratory Acute Onset Distress,Convulsions,2
5134,Convulsions Seizure,Respiratory Not Otherwise Listed,Convulsions,2
5135,Convulsions Seizure,Respiratory Not Otherwise Listed,Dehydration,2
5138,Convulsions Seizure,Seizures,Epilepsy,2
5141,Convulsions Seizure,Seizures,Simple Febrile Convulsions,4
5146,Convulsions Seizure,Shoulder Lesions Shoulder,Alcohol Dependence,4
5148,Convulsions Seizure,Shoulder Lesions Shoulder,Convulsions,2
5157,Convulsions Seizure,Stupor,Convulsions,2
5167,Convulsions Seizure,Syncope Syncopal Episode Or Near,Convulsions,12
5173,Convulsions Seizure,Syncope Syncopal Episode Or Near,Injury Of Head,2
5175,Convulsions Seizure,Syncope Syncopal Episode Or Near,NonSt Elevation Nstemi Myocardial Infarction,3
5176,Convulsions Seizure,Syncope Syncopal Episode Or Near,Palpitations,2
5180,Convulsions Seizure,Syncope Syncopal Episode Or Near,Syncope And Collapse,19
5182,Convulsions Seizure,Syncope Syncopal Episode Or Near,Type 2 Diabetes Mellitus,2
5186,Convulsions Seizure,Weakness,Abnormal Findings On Diagnostic Imaging Of Ms Sys,2
5190,Convulsions Seizure,Weakness,Anesthesia Of Skin,2
5192,Convulsions Seizure,Weakness,Convulsions,8
5194,Convulsions Seizure,Weakness,Epilepsy,10
5195,Convulsions Seizure,Weakness,Fracture Of Thoracic Vertebra,2
5197,Convulsions Seizure,Weakness,Generalized Epilepsy,2
5204,Convulsions Seizure,Weakness,Seizures,2
5205,Convulsions Seizure,Weakness,Sepsis,2
5207,Convulsions Seizure,Weakness,Syncope And Collapse,7
5211,Convulsions Seizure,Weakness,Weakness,2
5244,Diabetic Problem,CV Cardiac Arrest,Cardiac Arrest,2
5266,Diabetic Problem,Diabetes Mellitus With Complications,Sepsis,2
5271,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Acute Pancreatitis,2
5272,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Altered Mental Status,3
5275,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Diabetes Mellitus,9
5291,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Poisoning By Insulin And Oral Hypoglycemic Drugs,2
5294,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Sepsis,13
5297,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Syncope And Collapse,3
5298,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Type 1 Diabetes Mellitus,55
5299,Diabetic Problem,Endocrine Hyperglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,41
5308,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Altered Mental Status,3
5311,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Drug Chem Diabetes Mellitus,3
5316,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Hypoglycemia,9
5318,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Long Term Current Use Of Insulin,2
5323,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Pneumonia,4
5326,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Poisoning By Insulin And Oral Hypoglycemic Drugs,10
5327,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Sepsis,2
5329,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Type 1 Diabetes Mellitus,12
5330,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,55
5331,Diabetic Problem,Endocrine Hypoglycemia Diabetic Diabetes,Urinary Tract Infection,3
5333,Diabetic Problem,Endocrine Hypoglycemia Nondiabetic,Hypoglycemia,3
5343,Diabetic Problem,Fever,Sepsis,3
5366,Diabetic Problem,General Malaise,Type 1 Diabetes Mellitus,2
5382,Diabetic Problem,Injury Of Body Of Pancreas ,Type 1 Diabetes Mellitus,4
5383,Diabetic Problem,Injury Of Body Of Pancreas ,Type 2 Diabetes Mellitus,5
5387,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,5
5395,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Pneumonia,3
5396,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Poisoning By Insulin And Oral Hypoglycemic Drugs,2
5397,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Poisoning By Slctv Seroton Norepineph Reup Inhibtr,2
5399,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,9
5404,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Type 1 Diabetes Mellitus,5
5405,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Type 2 Diabetes Mellitus,11
5407,Diabetic Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Urinary Tract Infection,2
5417,Diabetic Problem,Neuro Stroke CVa,NonTraumatic Intracranial Hemorrhage,2
5422,Diabetic Problem,Neuro Unconcious,Type 2 Diabetes Mellitus,2
5428,Diabetic Problem,Not Applicable,Type 1 Diabetes Mellitus,2
5429,Diabetic Problem,Not Applicable,Type 2 Diabetes Mellitus,2
5431,Diabetic Problem,Not Recorded,Altered Mental Status,2
5437,Diabetic Problem,Not Recorded,Cerebral Infarction,3
5447,Diabetic Problem,Not Recorded,Sepsis,7
5450,Diabetic Problem,Not Recorded,Syncope And Collapse,3
5451,Diabetic Problem,Not Recorded,Type 1 Diabetes Mellitus,19
5452,Diabetic Problem,Not Recorded,Type 2 Diabetes Mellitus,9
5454,Diabetic Problem,Not Recorded,Urinary Tract Infection,2
5456,Diabetic Problem,Pain,Cellulitis Of Limb,2
5473,Diabetic Problem,Shoulder Lesions Shoulder,Type 1 Diabetes Mellitus,2
5496,Diabetic Problem,Weakness,Chronic Obstructive Pulmonary Disease,2
5497,Diabetic Problem,Weakness,Convulsions,2
5502,Diabetic Problem,Weakness,GramNegative Sepsis,2
5513,Diabetic Problem,Weakness,Sepsis,3
5515,Diabetic Problem,Weakness,Syncope And Collapse,4
5517,Diabetic Problem,Weakness,Type 1 Diabetes Mellitus,3
5518,Diabetic Problem,Weakness,Type 2 Diabetes Mellitus,10
5519,Diabetic Problem,Weakness,Urinary Tract Infection,3
5520,Diabetic Problem,Weakness,Weakness,2
5522,Drowning Diving SCUBA Accident,Behavioral Strange Behavior,Auditory Hallucinations,2
5523,Drowning Diving SCUBA Accident,Behavioral Strange Behavior,Sprain Of Ligament Of Ankle,2
5524,Drowning Diving SCUBA Accident,CV Cardiac Arrest,Cardiac Arrest,2
5531,Drowning Diving SCUBA Accident,Respiratory Not Otherwise Listed,Effects Of Drowning And Nonfatal Submersion,2
5551,Eye Problem Injury,Injury Eye And Or Orbit,Laceration ,2
5573,Falls,Abuse Of Alcohol,Alcohol Abuse,7
5574,Falls,Abuse Of Alcohol,Alcohol Dependence,8
5592,Falls,Abuse Of Alcohol Intoxication,Alcohol Abuse,2
5593,Falls,Abuse Of Alcohol Intoxication,Alcohol Dependence,2
5616,Falls,Acute Pain Due To Trauma,Concussion,2
5623,Falls,Alcohol Abuse With Intoxication,Alcohol Abuse,2
5624,Falls,Alcohol Abuse With Intoxication,Alcohol Dependence,3
5626,Falls,Alcohol Dependence With Intoxication,Alcohol Abuse,2
5641,Falls,Behavioral Disorientation,Traumatic Subdr Hem,2
5643,Falls,Behavioral Mental Disorder Not Otherwise Listed,Adjustment Disorder,2
5653,Falls,Behavioral Mental Disorder Not Otherwise Listed,Poisoning By Antieplptc And SedHypntc Drugs,2
5654,Falls,Behavioral Mental Disorder Not Otherwise Listed,Poisoning By Drug Meds Biol Subst,2
5656,Falls,Behavioral Mental Disorder Not Otherwise Listed,Syncope And Collapse,2
5664,Falls,Behavioral Suicidal Homicidal Ideation,Alcohol Abuse,3
5668,Falls,CV Cardiac Arrest,Cardiac Arrest,5
5678,Falls,CV Cardiac Arrhythmia Dysrhythmia,Syncope And Collapse,3
5694,Falls,CV Hypotension,Laceration ,2
5699,Falls,CV Hypotension,Sepsis,2
5700,Falls,CV Hypotension,Syncope And Collapse,3
5710,Falls,Concussion,Concussion,2
5733,Falls,Dehydration,Acute Kidney Failure,2
5755,Falls,Endocrine Hypoglycemia Diabetic Diabetes,Type 2 Diabetes Mellitus,2
5781,Falls,Fever,Fever,2
5784,Falls,Fever,Sepsis,6
5786,Falls,Fever,Weakness,2
5799,Falls,Fracture Of One Rib Left Side  For Closed Fracture,Multiple Fractures Of Ribs,2
5801,Falls,Fracture Of Shaft Of Femur,AgeRel Osteoporosis,2
5807,Falls,Fracture Of Shaft Of Tibia Sequela,Displaced Comminuted Fracture Of Shaft Of Tibia,2
5815,Falls,GI GU Abdominal Pain Acute Onset,Traumatic Subdr Hem,2
5823,Falls,GI GU Generalized Abdominal Pain,Sepsis,2
5839,Falls,GI GU Pelvic Or Perineal Pain,AgeRel Osteoporosis,3
5840,Falls,GI GU Pelvic Or Perineal Pain,Contusion Of Hip,2
5842,Falls,GI GU Pelvic Or Perineal Pain,Dislocation Of Hip,2
5843,Falls,GI GU Pelvic Or Perineal Pain,Dislocation Of Internal Hip Prosthesis,3
5844,Falls,GI GU Pelvic Or Perineal Pain,Displaced Intertrochanteric Fracture Of Femur,10
5846,Falls,GI GU Pelvic Or Perineal Pain,Fracture Of Neck Of Femur,7
5847,Falls,GI GU Pelvic Or Perineal Pain,Fracture Of Pubis,3
5852,Falls,GI GU Pelvic Or Perineal Pain,Intracapsular Fracture Of Femur,2
5854,Falls,GI GU Pelvic Or Perineal Pain,Nondisplaced Intertrochanteric Fracture Of Femur,2
5864,Falls,General Malaise,Acute Kidney Failure,2
5876,Falls,General Malaise,Dehydration,2
5882,Falls,General Malaise,Injury Of Head,2
5891,Falls,General Malaise,Sepsis,4
5892,Falls,General Malaise,Streptococcal Sepsis,2
5900,Falls,Hemorrhage Not Elsewhere Classified,Injury Of Head,2
5901,Falls,Hemorrhage Not Elsewhere Classified,Laceration ,13
5905,Falls,Hemorrhage Not Elsewhere Classified,Traumatic Subdr Hem,2
5907,Falls,History Of Falling,AgeRel Osteoporosis,5
5924,Falls,History Of Falling,Intracapsular Fracture Of Femur,2
5925,Falls,History Of Falling,Laceration ,4
5946,Falls,Infectious Influenza Flu Like Symptoms,Sepsis,2
5954,Falls,Injuries Of Lower Back ,Displaced Trimalleolar Fracture Of Leg,2
5955,Falls,Injuries Of Lower Back ,Fracture Of Fibula,2
5963,Falls,Injury Ankle,Displaced Bimalleolar Fracture Of Leg,8
5970,Falls,Injury Ankle,Displaced Trimalleol Fracturelo,3
5971,Falls,Injury Ankle,Displaced Trimalleolar Fracture Of Leg,5
5973,Falls,Injury Ankle,Fracture Of Lateral Malleolus Of Fibula,3
5974,Falls,Injury Ankle,Fracture Of Leg,3
5975,Falls,Injury Ankle,Fracture Of Medial Malleolus Of Tibia,2
5979,Falls,Injury Ankle,Fracture Of Tibia,2
5981,Falls,Injury Ankle,Sprain Of Ligament Of Ankle,6
5985,Falls,Injury Chest Upper Chest,Contusion Of Hip,2
5990,Falls,Injury Chest Upper Chest,Multiple Fractures Of Ribs,2
